scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.8525085,0.32837468,0.35958928,-0.0029233145,10.00265,-8.377738,-0.36466143
0.2144127,0.38239253,0.1793814,-0.0028535528,9.99161,-8.3660755,0.0350973
-0.3293228,-0.39571452,0.39474076,-0.0029821163,10.00292,-8.377581,0.33356398
-0.072780475,0.082142144,0.5984849,-0.0029140422,9.977625,-8.352172,0.13656697
-0.66293263,-0.28636894,0.33862036,-0.0035146428,10.005643,-8.380136,0.121246144
0.6115523,0.14589286,0.90026504,-0.0028203884,9.995536,-8.370039,-0.100182354
0.50916845,-0.07795432,0.8767588,-0.002779807,9.999886,-8.374514,-0.122040935
-0.49139312,-0.08811485,0.21842016,-0.003480346,10.019162,-8.393606,0.017979199
0.019797381,0.6560721,0.9320067,-0.0027017174,10.000898,-8.376005,0.06214884
0.6191237,-0.37509054,0.081526846,-0.0030296696,10.00418,-8.378371,-0.09730735
-0.3338457,0.05212753,0.46190265,-0.0031024115,10.004926,-8.379582,0.3411277
-0.44791698,-0.11395271,0.3362553,-0.0030009123,10.009245,-8.383969,0.30628136
-0.6765043,0.4739363,0.15186818,-0.0029864581,10.004365,-8.379053,-0.4083719
-0.30701286,0.6252682,0.4255859,-0.003425886,10.005898,-8.38043,-0.02419174
-0.11651284,0.54873186,0.08613703,-0.0036269305,9.998883,-8.373298,-0.1032311
-0.548609,0.40789002,0.17849036,-0.0032019867,10.006257,-8.380797,-0.3800704
-0.2523289,-0.44669783,0.5347909,-0.0033496944,10.001597,-8.376054,0.23703966
-0.44960177,0.34979928,0.96436244,-0.0030191345,9.999365,-8.374099,0.22686464
-0.6155126,-0.51411605,0.33359435,-0.0029869182,10.002333,-8.377119,0.31345904
0.10295638,-0.5075422,0.34221986,-0.0031330576,9.999986,-8.374233,-0.080723524
0.011411212,0.65098256,0.14252885,-0.003358,9.999108,-8.3734455,-0.027567355
0.24186508,0.7516205,0.00064531376,-0.0028660474,9.997945,-8.373186,-0.038209602
