trial,seed,vorticity_epi,final_div_res,final_loss
1,68268,0.0001891972788143903,0.0006126556545495987,4.2775674955919385e-05
2,43567,0.00035408895928412676,0.00025829995865933597,8.094916665868368e-07
3,42613,0.00024288834538310766,0.00012353583588264883,9.72878666516408e-08
4,45891,0.00012916646664962173,8.217590220738202e-05,1.3411910515515046e-07
5,21243,0.00010997489152941853,0.0001670466153882444,2.396907632373768e-07
6,95939,0.0002302379725733772,9.654791210778058e-05,8.872862622411049e-08
7,97639,0.0002311545831616968,0.00012766793952323496,7.566958970528503e-08
8,41993,0.0003091819817200303,8.024059934541583e-05,8.138819396208419e-08
9,86293,0.00015911691298242658,7.072511652950197e-05,6.833768395608786e-08
10,55026,7.411013211822137e-05,0.00014444025873672217,1.4750555976661417e-07
11,80471,0.00025908646057359874,0.00010975031909765676,1.914064711172614e-07
12,80966,0.0002522155118640512,0.00015909338253550231,1.94005778553219e-07
13,48600,0.0001375149586237967,0.00015275808982551098,2.0024434377319267e-07
14,39512,0.0001140607419074513,6.735133501933888e-05,8.002020024377998e-08
15,52620,0.0001929175341501832,0.00010267567995470017,9.644507770190103e-08
16,80186,0.0003540115721989423,0.00025269758771173656,4.2526710331003414e-07
17,17089,0.0002358011988690123,0.00012187413085484877,6.520159701040029e-08
18,32230,0.00012324802810326219,8.790213178144768e-05,1.6240475986251113e-07
19,18983,0.00020612873777281493,0.00012606284872163087,7.644921140581573e-08
20,89688,0.0002106725878547877,8.503896970069036e-05,7.98621471176375e-08
21,82457,0.00018724885012488812,0.00022440114116761833,5.1666251010829e-07
22,93005,0.00033366261050105095,0.0001436940801795572,1.902167525713594e-07
23,6921,0.0001307645143242553,0.00012085743946954608,1.0007828166180843e-07
24,38804,0.00019629202142823488,0.00020989877521060407,1.8187176920037018e-07
25,67699,0.00029839950730092824,0.0001772585092112422,1.36123730953841e-07
26,70608,0.00030074999085627496,0.00012141037586843595,4.5343659849095275e-07
27,37619,7.053647277643904e-05,0.00010226189624518156,2.0176878479105653e-07
28,7877,0.00017947133164852858,8.990211063064635e-05,1.6057582286066463e-07
29,83966,0.0001966394338523969,0.00016029058315325528,1.1286378764907568e-07
30,1871,0.0004557199717964977,0.00013121709343977273,2.0650546161959937e-07
31,73135,0.00012611453712452203,0.0001224715233547613,1.0019883234235749e-07
32,2496,0.00019193733169231564,3.2956417271634564e-05,6.07977526101422e-08
33,47954,0.00014931627083569765,0.00016104246606118977,4.6600865744039766e-07
34,24675,0.00014659632870461792,0.00017104680591728538,3.9415789387931e-07
35,31921,7.455763261532411e-05,0.00014162322622723877,1.8865169693071948e-07
36,99059,9.111042891163379e-05,0.00015243457164615393,1.9415502094943804e-07
37,797,3.36593875545077e-05,8.669003000250086e-05,1.9095779180133832e-07
38,49811,9.573655552230775e-05,7.968611316755414e-05,1.3788063313313614e-07
39,68755,0.00011077860108343884,7.700650894548744e-05,7.109532162985488e-08
40,80782,0.0003146110684610903,3.7120851629879326e-05,3.352687016899836e-08
41,90535,0.000186860968824476,0.00017601139552425593,2.1941842476280726e-07
42,81857,0.0001829790708143264,9.201322973240167e-05,1.6341579112122417e-07
43,52489,7.910685962997377e-05,9.488334762863815e-05,6.143184805296187e-08
44,84665,0.00030674535082653165,0.00011784889647969976,3.057701576381078e-07
45,41504,0.00025378313148394227,0.00011066626029787585,1.3731600745359174e-07
46,49866,0.0003455902333371341,5.875180795555934e-05,5.2467520106347365e-08
47,84212,0.00010585770360194147,0.00015453547530341893,3.509352950459288e-07
48,96766,0.00015031428483780473,8.47156043164432e-05,4.428006405987617e-08
49,11723,0.0002829996810760349,0.00016417914594057947,1.7583187172931503e-07
50,43890,0.00017154571833088994,0.0001297883572988212,1.5411970366585592e-07
